DATE,Food,Smoke,Drugs,MedEq,Telcm
196909,-0.58,4.12,2.08,2.03,-4
196910,7.97,12.42,9.02,8.39,3.5
196911,-0.66,0.61,0.04,1.57,1.18
196912,-1.99,-1.95,3.39,7.77,-5.51
197001,-2.77,-6.99,-6.1,-11.02,-2.57
197002,5.99,0.29,5.76,6.02,7.96
197003,-0.56,1.42,-4.78,-6.38,2.29
197004,-10.54,-2.81,-9.57,-11.44,-8.79
197005,-8.61,3.53,-7.6,-8.12,-3.75
197006,-0.16,6.66,0.41,-4.21,-8.48
197007,5.57,3.5,2.3,1.88,10.26
197008,0.37,0.65,1.66,2.19,2.51
197009,5,0.51,7.72,8.23,-0.95
197010,-0.02,10.35,0.26,1.22,-3.75
197011,5.6,10.05,3.4,1.23,6.12
197012,8.04,2.66,6.23,1.51,6.85
197101,2.12,5.74,3.56,10.94,9.77
197102,2.42,5.07,0.59,3.59,-5.3
197103,2.61,9.6,2.41,8.2,0.71
197104,1.16,1.72,4.15,4.79,0.82
197105,-2.84,-7.71,-2.78,0.62,-5.21
197106,0.7,0.06,1.01,5.75,1.04
197107,-0.29,0.53,-1.8,-3.05,-3.61
197108,-0.15,2.47,4.17,-0.45,-0.32
197109,-0.12,-2.87,0.55,1.05,0.23
197110,-4.11,-8.8,-2.51,-1.91,-1.74
197111,0.96,1.7,0.56,1.31,0.38
197112,7.37,8.54,7.88,7.28,7.36
197201,1.09,5.87,2.5,2.66,0.94
197202,3.49,8.32,7.15,6.73,0.16
197203,-1.06,3.01,-0.52,4.72,-0.32
197204,0.97,6.29,0.76,2.69,-1.05
197205,-0.38,2.79,3.79,2.69,1.19
197206,-1.97,-0.75,2.82,2.13,-2.74
197207,-0.89,-5.25,4.26,-0.63,0.75
197208,1.88,-2.71,0.85,1.33,5.16
197209,-1.52,-7.57,-0.21,-0.51,4.31
197210,2.37,-1.07,1.87,0.63,2.3
